,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
10,7974000.959769589,6189202.993699076,10067457.841903532,9492174.5366519,8805976.293196257,8808703.445965905,9225680.639757417,4748972.504109326,4926153.09543696,9492174.5366519,7151085.092958287,9355389.469838616,11436174.089664487,11096767.890909376,2746312.7325672735,5165046.251962594,5184439.770807354,8636568.948148081,1530417.607059907,8476768.210095555,8476768.210095555,7302173.273524131,3444510.1952758078,9952399.986319605,4988457.213549678,2092900.8212805025,7802004.936627287,2083814.4211881126,3989083.349664208,6556881.105535421,6819122.959268422,5754053.567376708,7118834.353568924,8571982.239546267,7263100.885807418,7644013.680585629,6863735.396259722,871600.1816507883,843922.8615804432,847705.0516651297,9101131.042726085,9469419.395883359,5582813.660289481,8481030.230318338,4906872.48117779,3989083.349664208,9370784.90856237,6154119.096913203,9534299.48768135,7189795.573637586,9370784.90856237,4654129.61077014,6183064.941254077,9317762.705779055,4302005.128106808,9073826.170664888,7911751.6201230865,8752736.909038497,6138111.938626643,8752736.909038497,1128559.0176470245,7707248.632454333,2760584.5098415087,7054280.147908987,2897306.709916141,10730733.418693935,10312114.523982096,8927679.23374919,4877148.15945089,6147382.865599,3265921.0870326073,191852.89319947446,3477476.457645486,4388745.148747349,10020006.115078598
11,13690480.505818704,7082592.254573455,13189397.619815534,12435717.755826075,10908224.620935861,10911602.826145193,16925479.60141858,4330258.1047884235,4561407.210602951,12435717.755826075,7917888.777874971,12255192.468077723,14417848.255031765,13952620.09709873,6704159.881272449,10160093.07892057,9456368.559655266,16056942.463153083,5212820.474903374,15522759.725628112,15522759.725628112,8021767.131407704,7723915.047108501,13902465.32367725,10135473.75396513,5747434.686475251,10812033.769126944,5722482.003321234,8911490.421869017,8345374.502146682,8640966.71184753,11387640.142357942,13797518.28619456,13526649.618898196,7954185.278461707,14202161.331461664,12040995.945745,0.0,0.0,0.0,16343137.371382836,11649963.775832849,10785950.041937029,15357983.728930397,4845982.372953234,8911490.421869017,17192848.961563833,12196406.370426018,16177172.857188761,11924412.42531486,17192848.961563833,4781159.05673277,10869255.874639321,15053563.56583554,3368800.2396278875,10758250.987284577,12069241.998890268,13251653.41586148,6240764.687679832,13251653.41586148,0.0,11508052.708965085,1087285.2477743481,11727360.357399607,6635728.413966665,13545132.809157316,16428355.126875073,14275329.865067298,4585257.555425104,9599727.228324441,7408174.1211413685,0.0,7674066.881982439,3867667.3761974615,16665339.589066949
12,3708905.9430169743,5557643.66598186,7858691.514882331,7409623.428317625,6320962.09836945,6322919.658635281,6657260.387120727,1957810.64367356,2068817.954653144,7409623.428317625,4339745.7140040565,7266440.7569564935,5946756.629600095,5627522.161009368,620300.6513928158,2331402.823086872,1230240.5285610568,5912791.4746645875,691052.1672100988,5497183.451014948,5497183.451014948,1736681.080614318,1052399.1135609578,7837915.647933761,2768208.78611356,0.0,1868388.5536006903,0.0,3063275.1661610967,721286.741829267,689863.2775369998,3676520.6862495206,5597194.195864912,8972604.991198186,1909893.3047016538,4921822.562827044,2729548.466515497,0.0,0.0,0.0,5605216.586797903,5944420.66544387,2492723.3597176024,7560885.921981036,3483553.857256032,3063275.1661610967,6508517.245399898,4709458.958308986,9034631.794188315,2608423.18837019,6508517.245399898,4488064.766732638,1976388.332983402,8864159.35105258,149188.6177622812,4548099.520855515,2784244.1101726717,3625931.7074821945,817942.8688576294,3625931.7074821945,0.0,2406103.9788140315,0.0,2509288.9179061176,0.0,7053521.661335633,6253748.234171329,8440225.220385777,2712604.2370897993,958416.2997921812,885211.9325094875,0.0,623599.486089601,2147783.7035684753,6128535.664234627
13,8650686.677423846,3546184.215499058,6858380.686737568,6466473.218923993,5802380.065330053,5804177.024161062,8546574.511410087,2432047.6594866463,2564953.804861957,6466473.218923993,4335733.82703523,6377474.268288071,8060132.43220055,7934788.46683581,4096673.115644141,6194076.471966656,6152883.889307346,8929012.344592853,2953469.4265158465,8806206.681038415,8806206.681038415,5071637.025819672,4728303.293283565,7138494.562049947,5985207.292219488,3681200.205321699,7202852.791974297,3665218.1494375244,4966202.050140487,5674939.785160123,5886095.363261944,6585951.053392523,7511521.920917403,6620227.3860086845,4976629.588885472,8169727.479393842,7666321.679937149,0.0,0.0,0.0,9486803.519183772,6362155.763369205,6610474.498204219,7632930.221121788,2469349.9265221446,4966202.050140487,8694569.573157286,6759501.358741016,7949544.552009055,7755001.410834292,8694569.573157286,2243919.622115192,7026358.803693533,7416720.935097337,2158858.517363249,6196566.466986178,7925304.781009378,8583728.656849192,4034645.378517757,8583728.656849192,0.0,7606925.02124781,687940.179272347,7632451.059859194,4269114.051764333,7290818.958471728,8899981.182318697,7044270.261006059,2445444.1480617127,6522439.1220721025,4553711.123873655,0.0,4822818.826634612,2077208.327315534,9056177.809714528
14,225921.15758638154,152825.32637008876,305908.5834609712,288428.0929774871,226674.42802490474,226744.6276000131,350576.9449465196,0.0,0.0,288428.0929774871,107756.09646827304,283339.9507066968,263491.2946766832,244574.8264565243,137664.8268250499,198025.56254352577,122328.80383839677,345610.8702612963,165111.45634256478,316311.524933493,316311.524933493,12457.082759255309,153768.94616779746,331463.03549368476,229480.8455251876,85948.5520769938,86641.68479004197,85575.40351515447,268174.6306897648,13620.105647638567,10216.277082201845,269425.0027755753,357951.09487076534,405245.38167089946,18920.154434210344,300913.8168979257,187506.56332151304,0.0,0.0,0.0,316366.0783571977,221152.37520379643,203805.16935465072,405043.60394149815,51215.57707603061,268174.6306897648,340259.1792268673,323398.5210454512,448369.59508235136,165148.43764912576,340259.1792268673,91359.65409741474,151510.89969757464,417049.9503915874,0.0,155416.8325113232,151854.32610274135,188222.34555545473,0.0,188222.34555545473,0.0,129488.33404216374,0.0,160953.01169517348,93229.4373378697,274999.7597539876,306730.1365767107,393115.40691086056,15684.095673347236,72868.42678242494,144422.48409530916,0.0,129096.19673830913,0.0,307766.18815120246
15,1015685.3878568189,916700.0702253893,1500269.6899943964,1414539.9934232878,1201683.1719973644,1202055.3253488655,1480760.6590301704,409598.4559719044,432060.1671163519,1414539.9934232878,830695.5521460829,1389965.726706645,1299240.1282225964,1240250.3221553622,444123.5180721084,755484.4075355079,588889.202490904,1381315.8450800867,405438.36218547006,1296821.1663352568,1296821.1663352568,554274.0149523191,529905.7246467461,1556381.5668719935,812374.673909225,285359.4728019612,683995.7056931984,284120.5749460916,814797.5010010052,457019.0361199931,467582.9831866217,963695.6096637005,1292401.0266912286,1783801.5193761212,569770.9626651227,1192284.97679203,850115.2795721786,0.0,0.0,0.0,1332140.6988065261,1190550.8017551918,797261.8894695175,1628434.5502086733,590296.1954509564,814797.5010010052,1454720.6002774532,1124653.7385599464,1899948.1682427118,820016.691813989,1454720.6002774532,686652.8798997824,721702.2858400171,1824576.2384877044,179148.36412224604,983383.9293890452,834036.7249590151,970598.0371701457,378569.38410495734,970598.0371701457,0.0,770248.3948577304,17281.120496143405,801653.7552526084,362510.0654120189,1408983.5929011235,1397375.2633417507,1729265.4170625648,499106.3744054013,544845.3084125994,497503.29594833526,0.0,478970.4132499382,406658.1494548056,1383070.923034273
16,18714020.20221137,12159305.937942486,21682053.9100941,20443079.40094587,17620731.78936846,17626188.813769013,25000220.444197673,6710754.2377750045,7061510.245178137,20443079.40094587,12545390.234367311,20126398.076758247,21527385.25984099,20677328.013725676,9082605.882936802,14071560.165102914,12375707.261034697,23369199.554565296,7484616.872732957,22228729.33052498,22228729.33052498,11019401.30064451,10524360.361325309,22971887.183870073,14424034.392850073,7287336.285230065,14168024.907158302,7255698.066915028,13341053.024595197,10612420.000661755,10961404.720267644,16505112.625594115,20900466.566256892,23889690.0543072,11048753.378465103,20432641.683668196,16258814.478138136,0.0,0.0,0.0,23081418.92564003,18285420.34433076,14889341.66171771,25830131.940671336,8191504.632312623,13341053.024595197,24687400.663676962,18308017.99134017,28660386.898697242,15930611.584369667,24687400.663676962,8621201.45883399,14432435.34665327,26410731.417756636,4523209.91756739,16133744.15877697,16132740.222938253,18014293.069323465,8346376.208432095,18014293.069323465,0.0,15257358.667522298,1445233.2999760169,15643808.614298426,8524412.433870098,21466453.453078337,23751528.457189463,24958757.914450686,7452166.878925245,12206036.705597097,10038474.486039001,0.0,10174980.657198751,6243691.609346974,23671377.52741365
17,234893.05607193938,671265.3268264207,806015.8308076995,759957.7833329737,666172.6359760062,666378.9452469804,574760.9221621539,247255.84050167166,258033.7165500739,759957.7833329737,489918.7300668299,744222.0394460605,545977.3534413367,515853.5498890529,0.0,67260.94452640213,0.0,467902.9016436107,0.0,433848.55864210275,433848.55864210275,134422.2858313806,0.0,769160.030640721,113361.95703128005,0.0,71561.08209132832,0.0,142183.56619961993,0.0,0.0,216718.52204178795,427132.4162214773,858352.5398976114,159207.24920207378,366257.455833093,122132.65595625665,0.0,0.0,0.0,442733.1343144422,603028.3502667946,81410.63227048022,665257.8880774725,445850.2919154487,142183.56619961993,560964.5399346356,330893.5414078829,826458.8959523484,122985.88373273936,560964.5399346356,587269.329675083,39654.412210939205,830267.900899542,22541.47526004445,447175.8679056406,161034.2641945067,257020.8477962747,47679.351929702825,257020.8477962747,0.0,122161.15968158215,1100.7354695930694,112351.86062225571,0.0,707711.055940042,549504.4063645649,794094.4816614508,347379.2123629879,0.0,0.0,0.0,0.0,284950.3558763593,530407.9899263933
18,9768558.28545817,8278451.769126819,13764597.974276014,12978049.518603098,11271785.7782377,11275276.575939232,13320972.396427711,4927768.582264522,5138666.80760742,12978049.518603098,8363856.402892488,12769467.269926539,12717207.667940933,12249278.73210434,3936221.2554613496,6865507.680313076,6053844.816808181,12166453.18783105,2993749.9340350865,11635071.281041306,11635071.281041306,6959937.150238507,4762626.170325787,14403712.613660619,7028577.365688404,2825757.821663067,7842532.743511101,2813489.697980015,6391762.629469316,6030467.806897308,6236667.64518337,8225948.623707066,10699763.75247439,14740023.14329476,7017367.256397594,10556795.229935749,8302789.844730095,0.0,0.0,0.0,12167297.695879528,11496656.500211038,7319905.412309615,13609238.560722845,5919495.4575265385,6391762.629469316,13238852.841324436,9246828.644724114,16082949.367725013,8299362.230489435,13238852.841324436,6243098.65152274,7271811.209341303,16022305.934831258,3556653.6318349163,10061763.26659679,8699789.40755867,9842162.71226263,5486845.336338486,9842162.71226263,0.0,8253163.671460045,1942132.9611340312,8131740.670084185,3652836.899494353,13439569.423742497,13292116.53815442,15343619.16618983,5453974.007563853,6320290.180629177,4500845.477578856,0.0,4551589.762968419,4721701.281216363,13058418.30985924
19,1767839.6338391171,1313176.765949444,2146301.815647959,2023655.9976109327,1882938.7464577493,1883521.8801667793,2005542.7921568088,1018793.0728086361,1057269.1718296637,2023655.9976109327,1534554.606653681,1994626.523521526,2446343.4938105433,2420136.217154956,619895.846426523,1148750.427808038,1161627.2770142797,1891533.3876365123,347465.9550792937,1859219.4190162465,1859219.4190162465,1602222.220950661,773217.0797461284,2122200.6258890717,1105609.774120833,482297.7120544325,1740066.0197633496,480203.80013523815,879827.5399475222,1462825.2091796193,1521430.9985294163,1269306.9327455966,1556675.4554905256,1829662.8158520318,1590923.2348069956,1679827.2766317544,1526975.477731779,185729.25368269696,179831.49447059317,180637.44122978783,1998851.3934314034,2032678.2181514557,1241387.3830602907,1832109.6097392924,1042172.647471759,879827.5399475222,2039391.7131896787,1349568.1736700898,2047436.6362875858,1601145.3100529057,2039391.7131896787,980213.9200803605,1380161.3194475898,1994782.8744519644,933216.4128921451,1967841.1378697434,1761676.063167825,1944277.5029950202,1346195.578455338,1944277.5029950202,229955.56090547045,1718081.0088871268,589357.5770014552,1571455.7579422016,658313.5267215844,2296761.9084575535,2247924.372159623,1910347.2375685275,1040606.9994548794,1378551.4076877162,734316.3683797689,25564.879034125683,783964.5476670963,936330.7106729064,2188357.095290522
